motor,harga_otr,dp,pct_dp,tenor,cicilan
REVO FIT FI,19475000.0,3200000.0,0.1643,30,930000.0
REVO FIT FI,19475000.0,3200000.0,0.1643,36,815000.0
REVO FIT FI,19475000.0,3300000.0,0.1694,12,1855000.0
REVO FIT FI,19475000.0,3300000.0,0.1694,18,1335000.0
REVO FIT FI,19475000.0,3300000.0,0.1694,24,1082000.0
REVO FIT FI,19475000.0,3300000.0,0.1694,30,925000.0
REVO FIT FI,19475000.0,3300000.0,0.1694,36,811000.0
REVO FIT FI,19475000.0,3400000.0,0.1746,12,1845000.0
REVO FIT FI,19475000.0,3400000.0,0.1746,18,1328000.0
REVO FIT FI,19475000.0,3400000.0,0.1746,24,1076000.0
REVO FIT FI,19475000.0,3400000.0,0.1746,30,920000.0
REVO FIT FI,19475000.0,3400000.0,0.1746,36,807000.0
REVO FIT FI,19475000.0,3500000.0,0.1797,12,1835000.0
REVO FIT FI,19475000.0,3500000.0,0.1797,18,1321000.0
REVO FIT FI,19475000.0,3500000.0,0.1797,24,1070000.0
REVO FIT FI,19475000.0,3500000.0,0.1797,30,915000.0
REVO FIT FI,19475000.0,3500000.0,0.1797,36,803000.0
REVO FIT FI,19475000.0,3600000.0,0.1849,12,1825000.0
REVO FIT FI,19475000.0,3600000.0,0.1849,18,1314000.0
REVO FIT FI,19475000.0,3600000.0,0.1849,24,1064000.0
REVO FIT FI,19475000.0,3600000.0,0.1849,30,910000.0
REVO FIT FI,19475000.0,3600000.0,0.1849,36,799000.0
REVO FIT FI,19475000.0,3700000.0,0.19,12,1815000.0
REVO FIT FI,19475000.0,3700000.0,0.19,18,1307000.0
REVO FIT FI,19475000.0,3700000.0,0.19,24,1058000.0
REVO FIT FI,19475000.0,3700000.0,0.19,30,905000.0
REVO FIT FI,19475000.0,3700000.0,0.19,36,795000.0
REVO FIT FI,19475000.0,3800000.0,0.1951,12,1805000.0
REVO FIT FI,19475000.0,3800000.0,0.1951,18,1300000.0
REVO FIT FI,19475000.0,3800000.0,0.1951,24,1052000.0
REVO FIT FI,19475000.0,3800000.0,0.1951,30,900000.0
REVO FIT FI,19475000.0,3800000.0,0.1951,36,791000.0
REVO FIT FI,19475000.0,3900000.0,0.2003,12,1795000.0
REVO FIT FI,19475000.0,3900000.0,0.2003,18,1293000.0
REVO FIT FI,19475000.0,3900000.0,0.2003,24,1046000.0
REVO FIT FI,19475000.0,3900000.0,0.2003,30,895000.0
REVO FIT FI,19475000.0,3900000.0,0.2003,36,787000.0
REVO FIT FI,19475000.0,4000000.0,0.2054,12,1785000.0
REVO FIT FI,19475000.0,4000000.0,0.2054,18,1286000.0
REVO FIT FI,19475000.0,4000000.0,0.2054,24,1040000.0
REVO FIT FI,19475000.0,4000000.0,0.2054,30,890000.0
REVO FIT FI,19475000.0,4000000.0,0.2054,36,783000.0
REVO FIT FI,19475000.0,4100000.0,0.2105,12,1775000.0
REVO FIT FI,19475000.0,4100000.0,0.2105,18,1279000.0
REVO FIT FI,19475000.0,4100000.0,0.2105,24,1034000.0
REVO FIT FI,19475000.0,4100000.0,0.2105,30,885000.0
REVO FIT FI,19475000.0,4100000.0,0.2105,36,779000.0
REVO FIT FI,19475000.0,4200000.0,0.2157,12,1765000.0
REVO FIT FI,19475000.0,4200000.0,0.2157,18,1272000.0
